run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
threshold_92,threshold,2,3.384234039060432,0.6233435609395701,8,23757.445139342402,100.0
threshold_95,threshold,3,3.3935625719089124,0.6140150280910889,8,33160.77140747201,100.0
threshold_94,threshold,3,3.3869772614279445,0.6206003385720563,8,33081.1798643785,100.0
threshold_93,threshold,3,3.378770002166867,0.628807597833134,8,33078.89187740735,100.0
threshold_92,threshold,3,3.4175118630575,0.5900657369425006,7,33309.9807285149,100.0
threshold_98,threshold,1,3.3966080373346546,0.6109695626653463,8,14389.824112003964,100.0
threshold_97,threshold,1,3.3784105155206383,0.6291670844793626,8,14335.231546561916,100.0
threshold_96,threshold,1,3.3549444939680217,0.6526331060319788,8,14264.833481904065,100.0
threshold_99,threshold,1,3.3882811646505235,0.6192964353494769,7,14464.84349395157,100.0
threshold_98,threshold,2,3.4200109146119697,0.5875666853880294,7,23949.856855839873,100.0
threshold_97,threshold,2,3.3964420126627637,0.611135587337237,8,23724.557584550206,100.0
threshold_96,threshold,2,3.3968319888676906,0.61074561113231,8,23655.32944850714,100.0
threshold_99,threshold,2,3.392760303511731,0.6148172964882701,8,23843.124404486764,100.0
threshold_98,threshold,3,3.3931309349820133,0.6144466650179873,8,33329.249660785914,100.0
threshold_97,threshold,3,3.3934785499742293,0.6140990500257706,8,33104.993234472895,100.0
threshold_96,threshold,3,3.396717390428831,0.6108602095711697,8,33045.48161979363,100.0
threshold_99,threshold,3,3.377463837088285,0.6301137629117158,8,33175.51591575162,100.0
threshold_103,threshold,1,3.3926363050558597,0.6149412949441406,8,14377.90891516758,100.0
threshold_102,threshold,1,3.3973434691721685,0.6102341308278318,9,14292.030407516506,100.0
threshold_101,threshold,1,3.4182135933889,0.5893640066111012,7,14554.6407801667,100.0
threshold_100,threshold,1,3.385067004893075,0.6225105951069266,8,14355.201014679225,100.0
threshold_103,threshold,2,3.3935266025662223,0.6140509974337791,7,23858.48872286625,100.0
threshold_102,threshold,2,3.413923508665736,0.5936540913342652,7,23833.800933513714,100.0
threshold_101,threshold,2,3.378129588515014,0.6294480114849865,9,23789.02954571174,100.0
threshold_100,threshold,2,3.4004269075796807,0.6071506924203209,8,23756.481737418268,100.0
threshold_103,threshold,3,3.395671377010152,0.6119062229898495,8,33245.5028538967,100.0
threshold_102,threshold,3,3.3615458930618773,0.6460317069381231,8,33118.43861269935,100.0
threshold_101,threshold,3,3.380074685740548,0.627502914259453,7,33229.253602933386,100.0
threshold_100,threshold,3,3.3752412907944076,0.6323363092055929,8,33082.20560980149,100.0
threshold_107,threshold,1,3.3976818653424674,0.6098957346575327,7,14493.045596027403,100.0
threshold_106,threshold,1,3.3910973522646914,0.6164802477353102,8,14373.292056794075,100.0
threshold_105,threshold,1,3.409703786976266,0.5978738130237349,7,14529.111360928797,100.0
threshold_104,threshold,1,3.3946177760917546,0.6129598239082469,8,14383.853328275263,100.0
threshold_107,threshold,2,3.3805562893581134,0.6270213106418873,8,23834.714464101744,100.0
threshold_106,threshold,2,3.402764532312421,0.6048130676875801,8,23781.585653731338,100.0
